SongID,Title,Artist,Tags,Cover,Difficulty
0001,22,Taylor Swift,00s,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e1/b1/04/e1b10422-f39c-a8c7-195b-ebdb8c05489c/21UM1IM25046.rgb.jpg/600x600bb.jpg,Medium
0002,40,U2,80s,https://i.scdn.co/image/ab67616d0000b273ab282af9bbff8b79516d8cbe,Medium
0003,1985,Bowling For Soup,2000s,https://i.scdn.co/image/ab67616d0000b273f9b3ece3271d3a5fa73d3759,
0004,1999,Prince,80s,https://i.scdn.co/image/ab67616d0000b273337c5517a9a62e0c3f17d59f,
0005,1001 (Parking Inspector),The Cat Empire,Aussie,https://i.scdn.co/image/ab67616d00001e02812f9086351d72d5ac9f2343,
0006,24K Magic,Bruno Mars,00s,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,
0007,9 to 5,Dolly Parton,"Country, 80s",https://i.scdn.co/image/ab67616d0000b273060ccf36ab5b0e0a739799ec,
0008,99 Red Balloons,Nena,"80s, 2000s",https://i.scdn.co/image/ab67616d0000b273e585ee5565aca0a4abaa326d,
0009,A Message,Coldplay,90s,https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651,
0010,A Thousand Miles,Vanessa Carlton,90s,https://i.scdn.co/image/ab67616d0000b273bc3ada3a19bb4e657f10917e,
0011,A Whole New World,Disney (Aladdin),"Duet, 90s",https://i.scdn.co/image/ab67616d0000b27340d7b77428b2ec6dc7424f1c,
0012,About Damn Time,Lizzo,Pop,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04,
0013,Adventure of a Lifetime,Coldplay,00s,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6,
0014,Africa,Toto,"80s, Bangers",https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,
0015,Again,Lenny Kravitz,,https://i.scdn.co/image/ab67616d0000b27381bb674330f0276e88bd0722,
0016,Ain't No Mountain High Enough,Marvin Gaye; Tammy Terrell; Diana Ross,60s,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/9b/c1/cf/9bc1cf3a-84c7-474e-2d0f-2e4bd0327377/06UMGIM11763.rgb.jpg/600x600bb.jpg,
0017,Ain't No Sunshine,Bill Withers,70s,https://i.scdn.co/image/ab67616d0000b2732233e28dd921fd87e527f3cf,
0018,Ain't Nobody,Chaka Khan,80s,https://i.scdn.co/image/ab67616d0000b273590cdfb21e05bd277b432477,
0019,Alabama Pines,Jason Isbell,Country,https://i.scdn.co/image/ab67616d0000b27370e60f739259aef3425486f9,
0020,Alaska,Maggie Rogers,2010s,https://i.scdn.co/image/ab67616d0000b273d658a02ba8931985bdc4e0da,
0021,Albertine,Brooke Fraser,,https://i.scdn.co/image/ab67616d0000b273515aedb12b5ebe66ec202bb7,
0022,Alexander Hamilton,Hamilton,"Showtunes, 2010s",https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
0023,Alive,Pearl Jam,Rock,https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864,
0024,All Along the Watchtower,Bob Dylan,60s,https://i.scdn.co/image/ab67616d0000b27381efb7dfa40bbfa10a199e38,
0025,All I Want For Christmas Is You,Mariah Carey,Christmas,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f,
0026,All Is Found,Kacey Musgraves,,https://i.scdn.co/image/ab67616d00001e026ff59d18c018a2845758deed,
